,result
160,126221.66
161,384088.44
162,106017.59
163,322956.3
164,191234.77
165,319130.34
166,87449.84
167,92610.41
168,215235.78
169,169729.48
170,173662.75
171,128168.266
172,63933.645
173,301112.72
174,254935.48
175,189436.23
176,254016.84
177,104629.05
178,237217.86
179,36607.418
180,275782.25
181,235626.38
182,143775.83
183,148334.98
184,110048.914
185,64911.57
186,149906.02
187,219098.11
188,222643.61
189,195378.2
190,210668.45
191,118998.945
192,160837.05
193,309454.53
194,153832.25
195,336166.38
196,137401.16
197,218675.73
198,161123.5
199,146587.33
200,332062.66
201,132422.9
202,188455.34
203,171049.38
204,204634.22
205,180744.34
206,154198.72
207,118548.586
208,317822.7
209,167664.31
210,318738.25
211,146832.64
212,112989.125
213,173139.08
214,166233.19
215,474394.25
216,213141.36
217,188439.08
218,141808.7
219,142191.3
220,124303.0
221,155578.81
222,143771.75
223,201570.86
224,142135.52
225,96020.586
226,169610.31
227,203813.55
228,230542.98
229,264425.03
230,118945.14
231,171916.38
232,193495.5
233,165123.17
234,100252.61
235,201828.64
236,239334.58
237,185584.3
238,141694.34
239,201217.44
240,124269.234
241,200457.61
242,137257.45
243,170861.11
244,276930.9
245,112716.13
246,184779.47
247,373817.66
248,214534.42
249,269949.34
250,140313.2
251,78267.89
252,121122.945
253,111644.94
254,248623.97
255,93684.234
256,127976.71
257,330477.97
258,159753.28
259,314826.72
260,255527.11
261,129243.72
262,114508.72
263,181901.56
264,140783.86
265,202478.66
266,248011.14
267,111340.3
268,143381.23
269,141794.03
270,134058.47
271,115086.47
272,133040.78
273,190504.25
274,273141.8
275,251110.6
276,112010.6
277,207105.3
278,208377.56
279,136346.8
280,177533.6
281,98140.766
282,205151.16
283,171447.33
284,165786.06
285,118123.8
286,168955.64
287,159498.16
288,205878.53
289,342339.84
290,462114.38
291,162902.31
292,159384.22
293,145117.16
294,145862.44
295,185266.39
296,163359.92
297,179259.0
298,118083.41
299,154263.5
300,275997.56
301,200890.33
302,172601.48
303,126575.98
304,257393.6
305,158980.03
306,294003.97
307,161808.45
308,127324.53
309,159699.6
310,148396.23
311,201187.03
312,136215.38
313,146125.6
314,146521.03
315,187781.83
316,239445.17
317,345708.03
318,160105.83
319,116788.74
320,324833.25
321,102870.016
322,138017.45
323,172067.19
324,111796.31
325,214456.97
326,73498.98
327,150297.22
328,182272.72
329,111730.92
330,97170.52
331,202622.16
332,156452.7
333,147856.38
334,331895.4
335,346649.3
336,51696.098
337,152625.95
338,131378.11
339,88562.04
340,129139.56
341,104597.74
342,173312.7
343,110239.3
344,185242.19
345,138715.67
346,120331.92
347,123966.34
348,110203.84
349,140152.62
350,141102.36
351,105360.17
352,233512.14
353,242858.5
354,175675.2
355,169029.44
356,123191.734
357,214578.4
358,81648.125
359,195859.08
360,124267.61
361,125513.03
362,106466.4
363,89400.33
364,236997.84
365,118542.96
366,126097.64
367,126669.62
368,176519.78
369,131943.38
370,109750.08
371,162962.6
372,144565.19
373,97814.414
374,181156.36
375,212557.81
376,169039.16
377,70571.41
378,190123.86
379,207797.92
380,145048.48
381,230712.66
382,222405.47
383,141059.94
384,115144.53
385,131960.62
386,128915.11
387,111546.23
388,217972.94
389,139064.34
390,292185.38
391,160329.73
392,253995.3
393,81908.3
394,210829.08
395,314633.9
396,109556.99
397,139099.0
398,127111.46
399,101155.99
400,309770.03
401,237956.58
402,157609.83
403,251121.02
404,171754.05
405,228215.97
406,191195.33
407,238068.69
408,320855.78
409,120701.4
410,56280.52
411,67546.35
412,52056.414
413,141461.36
414,149218.12
415,237924.22
416,176431.8
417,187022.33
418,152534.05
419,165861.1
420,383866.28
421,129663.9
422,257348.97
423,341584.1
424,151205.73
425,92361.914
426,113613.5
427,137502.75
428,371145.84
429,147414.58
430,145482.77
431,129732.3
432,125088.44
433,118787.26
434,125296.62
435,207039.2
436,206906.72
437,169844.05
438,101783.22
439,160053.89
440,111080.37
441,139029.17
442,267564.94
443,202101.86
444,113529.56
445,148184.73
446,124936.45
447,145077.45
448,142064.23
449,128741.96
450,134766.61
451,745348.75
452,319253.34
453,154378.23
454,288550.38
455,67750.84
456,177352.7
457,110513.38
458,261528.03
459,208766.08
460,407372.75
461,168838.1
462,136336.05
463,164663.48
464,92456.73
465,170773.64
466,180591.23
467,144048.12
468,108840.57
469,131759.58
470,126981.39
471,244371.81
472,290243.72
473,129958.78
474,145048.69
475,407688.44
476,169354.4
477,126432.72
478,280828.75
479,222737.5
480,80903.17
481,262382.56
482,113176.69
483,157275.38
484,137388.12
485,144322.9
486,178510.52
487,142844.17
488,232142.98
489,155478.42
490,338957.9
491,115570.555
492,354663.94
493,420126.7
494,155178.6
495,173282.03
496,221250.55
497,189471.14
498,310657.4
499,104710.45
500,165836.73
501,260542.25
502,121537.805
503,238633.48
504,128287.445
505,51144.734
506,223656.69
507,111041.52
508,115985.44
509,129958.3
510,125342.42
511,142247.19
512,137605.28
513,117612.35
514,179248.28
515,228547.47
516,136915.03
517,275652.16
518,136218.14
519,474398.44
520,152495.7
521,167239.83
522,144412.1
523,133859.44
524,112277.07
525,159808.33
526,147341.84
527,283432.22
528,223134.89
529,191333.83
530,160701.97
531,359041.2
532,116361.25
533,202736.6
534,150999.02
535,163677.02
536,86101.0
537,58731.055
538,60785.9
539,103561.734
540,246582.66
541,251898.36
542,156315.66
543,232339.94
544,143472.83
545,210541.75
546,180514.3
547,127257.945
548,228377.64
549,116816.89
550,175779.5
551,224577.06
552,150233.16
553,253282.03
554,152197.28
555,148357.47
556,222824.23
557,185936.86
558,137949.11
559,135002.25
560,136551.94
561,176597.39
562,193864.19
563,143212.02
564,127809.82
565,45649.906
566,132395.08
567,82046.29
568,135377.47
569,225827.72
570,137192.14
571,236951.19
572,162925.81
573,179979.61
574,401005.88
575,142391.8
576,252246.4
577,111110.34
578,127832.47
579,175505.92
580,196963.27
581,236157.8
582,248783.5
583,153901.12
584,124540.39
585,188300.31
586,184880.3
587,183922.67
588,179509.23
589,127662.36
590,112148.96
591,78095.28
592,162420.27
593,148109.77
594,167508.62
595,415521.5
596,214140.55
597,153621.5
598,160013.06
599,118195.71
600,184341.9
601,214580.94
602,93216.125
603,268430.28
604,287554.0
605,157267.47
606,227355.38
607,72121.29
608,174260.05
609,86879.2
610,97643.6
611,84630.38
612,270174.22
613,185034.9
614,189856.45
615,157257.72
616,207925.89
617,183690.14
618,192303.14
619,316943.0
620,152706.83
621,137988.28
622,151979.45
623,74833.484
624,107555.4
625,454349.78
626,109362.21
627,121523.25
628,152800.7
629,238009.89
630,118941.2
631,81941.62
632,190455.61
633,164199.72
634,148157.95
635,96188.414
636,238778.22
637,125919.95
638,392816.6
639,166854.53
640,231111.36
641,136715.0
642,402332.53
643,165016.55
644,141648.4
645,177584.56
646,156786.64
647,105866.54
648,114049.82
649,183220.73
650,177265.17
651,92465.96
652,168791.4
653,112263.78
654,173665.1
655,100259.71
656,190237.97
657,141053.72
658,219979.23
659,179760.72
660,155001.02
661,126237.09
662,89549.42
663,280797.94
664,169153.83
665,282214.53
666,109820.44
667,258944.78
668,101392.56
669,79053.695
670,182738.36
671,102185.19
672,160672.81
673,168608.14
674,129630.09
675,321401.7
676,313358.56
677,125753.31
678,136180.86
679,417257.25
680,155564.08
681,183275.19
682,122308.71
683,106963.89
684,157362.5
685,130164.03
686,268239.16
687,67626.08
688,106761.72
689,336031.88
690,134703.84
691,263294.2
692,102474.09
693,173034.16
694,209690.81
695,138764.66
696,155583.3
697,124891.47
698,163200.39
699,140248.44
700,138897.23
701,127599.89
702,212653.0
703,129798.13
704,199041.3
705,242871.34
706,233931.89
707,177217.88
708,135464.5
709,64451.95
710,174527.92
711,133216.55
712,226918.73
713,379771.97
714,179883.86
715,165856.1
716,138174.17
717,128101.13
718,256882.33
719,149845.66
720,159880.06
721,163315.75
722,117400.45
723,191922.83
724,149867.64
725,386097.9
726,118360.445
727,128180.72
728,136577.66
729,139079.69
730,108560.75
731,274830.7
732,170893.02
733,162490.31
734,126606.45
735,214082.33
736,120646.26
737,171357.97
738,121196.76
739,210275.83
740,199379.19
741,168291.1
742,256021.83
743,155236.3
744,317296.22
745,124404.63
746,234954.12
747,249139.73
748,154925.0
749,181463.92
750,204679.62
751,163830.78
752,99112.84
753,116183.94
754,122469.39
755,138988.7
756,135090.14
757,150451.05
758,157118.86
759,171437.83
760,239815.3
761,358131.9
762,173940.22
763,137658.4
764,299520.84
765,217232.98
766,157070.39
767,73645.56
768,168948.92
769,145217.6
770,237702.61
771,129169.7
772,405853.8
773,170753.52
774,188388.19
775,83902.49
776,145725.77
777,276588.75
778,173978.6
779,280808.4
780,85216.836
781,156117.02
782,241352.25
783,110391.984
784,192737.58
785,191903.77
786,140045.3
787,301545.25
788,115226.53
789,216430.72
790,300986.3
791,127014.59
792,154431.89
793,113574.1
794,260296.39
795,204620.38
796,123038.266
797,286985.5
798,151799.33
799,80306.95
800,128601.96
801,94308.7
802,111927.836
803,102931.555
804,246912.66
805,138509.66
806,156099.58
807,300670.06
808,137910.95
809,145470.38
810,155378.39
811,85994.75
812,128308.89
813,143915.58
814,260665.03
815,59628.707
816,163474.4
817,193860.88
818,294684.16
819,215414.31
820,258341.02
821,190660.83
822,252797.08
823,142082.84
824,87779.984
825,173977.55
826,116351.305
827,105221.71
828,367227.94
829,189650.33
830,196229.44
831,246733.6
832,102678.57
833,165582.1
834,133303.12
835,128649.55
836,144618.55
837,128144.96
838,310938.9
839,142275.58
840,114838.09
841,195302.47
842,243638.47
843,120094.06
844,183126.61
845,178255.22
846,104417.08
847,176861.44
848,161826.62
849,157749.81
850,97801.34
851,163866.5
852,170852.11
853,14583.523
854,131150.14
855,234990.28
856,195299.9
857,137062.52
858,147105.52
859,207237.08
860,106584.19
861,172454.86
862,114954.98
863,161082.89
864,237669.48
865,91535.98
866,449503.16
867,169948.11
868,164126.4
869,119148.33
870,100820.29
871,177550.17
872,124494.94
873,171246.22
874,241516.95
875,136645.31
876,284442.25
877,260755.45
878,591854.25
879,203406.66
880,234010.67
881,249276.36
882,131516.17
883,217000.28
884,219145.36
885,130437.87
886,214360.4
887,177388.64
888,224057.02
889,169090.17
890,211158.16
891,172888.62
892,179665.67
893,182248.23
894,154777.42
895,145718.81
896,176252.81
897,466764.66
898,196295.58
899,138665.86
900,187707.31
901,145339.6
902,117943.15
903,188922.31
904,160012.97
905,118917.74
906,144831.69
907,163585.89
908,116708.28
909,537797.75
910,199467.75
911,144239.86
912,226638.72
913,136864.78
914,131334.88
915,753350.06
916,137202.61
917,106657.15
918,223865.8
919,145040.22
920,107717.695
921,144055.02
922,144970.0
923,137232.27
924,222064.52
925,194656.12
926,243757.4
927,151406.69
928,130170.9
929,361105.28
930,176233.5
931,153498.97
932,310683.12
933,84530.86
934,96859.555
935,208978.72
936,198036.83
937,195051.75
938,122202.4
939,181366.89
940,218088.33
941,174072.36
942,125250.23
943,101606.29
944,37253.062
945,227286.84
946,218382.9
947,146312.78
948,187905.89
949,183652.42
950,109742.625
951,156306.22
952,160264.31
953,200564.45
954,309403.12
955,143951.08
956,167488.31
957,92440.68
958,100700.945
959,265109.8
960,183443.86
961,128512.13
962,126185.42
963,197369.11
964,229855.56
965,170679.64
966,146123.44
967,176265.45
968,204335.36
969,148569.66
970,125689.91
971,291713.22
972,149607.88
973,160004.86
974,135153.88
975,147057.98
976,166878.97
977,135562.69
978,200202.16
979,298867.38
980,229491.66
981,266100.53
982,416503.6
983,150281.19
984,111835.08
985,261665.61
986,177880.95
987,81660.35
988,382921.88
989,107497.41
990,205852.47
991,155112.86
992,187690.3
993,79893.15
994,179307.98
995,172122.6
996,70001.59
997,137985.28
998,200989.12
999,134673.66
1000,129333.01
1001,138817.77
1002,110979.7
1003,235913.48
1004,132280.66
1005,239635.83
1006,260478.53
1007,100533.055
1008,177315.66
1009,179556.38
1010,140377.86
1011,138884.31
1012,65043.824
1013,229624.53
1014,135958.55
1015,329160.66
1016,75604.12
1017,283855.3
1018,113043.46
1019,173406.98
1020,114347.23
1021,99341.72
1022,98950.1
1023,175840.86
1024,222650.0
1025,294648.53
1026,152983.92
1027,110331.95
1028,555279.25
1029,104219.24
1030,130612.19
1031,95546.92
1032,228589.03
1033,178863.11
1034,107443.805
1035,131294.22
1036,179903.27
1037,109512.15
1038,118521.195
1039,78924.17
1040,158999.45
1041,300056.06
1042,108420.13
1043,323752.6
1044,95886.74
1045,93024.6
1046,146493.67
1047,98805.63
1048,126203.65
1049,375044.47
1050,124482.46
1051,287625.72
1052,126204.38
1053,160964.92
1054,245661.92
1055,156483.02
1056,215912.19
1057,126484.79
1058,182232.58
1059,95540.14
1060,191380.27
1061,206136.52
1062,203492.53
1063,97046.19
1064,128377.03
1065,171826.36
1066,156449.9
1067,182505.14
1068,162477.73
1069,204757.16
1070,176892.98
1071,195354.31
1072,99313.42
1073,151263.08
1074,145204.48
1075,136703.33
1076,111879.74
1077,280312.84
1078,187392.22
1079,87837.1
1080,82195.94
1081,372537.1
1082,369270.38
1083,175524.0
1084,186907.5
1085,183615.12
1086,326180.8
1087,184461.88
1088,194587.55
1089,168046.88
1090,136765.69
1091,143126.66
1092,250982.39
1093,152765.81
1094,109777.7
1095,148800.9
1096,159809.9
1097,251915.08
1098,211335.88
1099,163475.44
1100,173956.53
1101,59056.773
1102,119537.21
1103,166500.67
1104,224383.53
1105,156853.66
1106,159572.67
1107,189000.22
1108,224789.27
1109,114495.27
1110,91782.42
1111,136806.3
1112,80514.18
1113,174505.89
1114,142341.83
1115,170244.69
1116,137241.98
1117,120911.86
1118,112859.33
1119,188531.34
1120,197506.84
1121,132821.55
1122,545714.94
1123,164065.48
1124,187992.58
1125,127655.15
1126,99352.016
1127,154840.28
1128,272444.72
1129,149393.81
1130,54845.45
1131,110430.55
1132,199099.9
1133,466866.47
1134,166052.05
1135,116570.58
1136,153154.3
1137,242243.56
1138,154239.12
1139,124480.89
1140,215596.33
1141,94529.76
1142,271232.4
1143,124283.055
1144,112852.33
1145,133898.23
1146,78875.945
1147,212679.73
1148,74862.78
1149,237756.17
1150,129637.54
1151,197759.69
1152,176591.16
1153,16297.336
1154,134052.77
1155,157520.7
1156,208116.11
1157,249510.22
1158,233472.86
1159,192045.73
1160,116779.6
1161,99241.39
1162,212702.48
1163,253845.38
1164,227685.86
1165,174165.12
1166,130302.055
1167,161208.23
1168,207380.55
1169,368635.34
1170,91436.5
1171,232058.44
1172,78931.836
1173,182348.88
1174,373523.16
1175,120632.25
1176,342369.25
1177,188976.69
1178,254549.02
1179,274469.2
1180,134079.2
1181,118669.51
1182,110351.36
1183,171290.81
1184,148138.77
1185,212312.5
1186,119802.04
1187,177005.05
1188,230125.23
1189,144832.31
1190,162448.19
1191,153553.39
1192,132541.97
1193,181302.94
1194,185855.61
1195,110106.016
1196,119953.45
1197,163444.69
1198,155707.3
1199,498489.38
1200,118403.5
1201,212489.73
1202,145742.75
1203,197781.02
1204,264479.44
1205,359136.38
1206,188727.88
1207,168952.83
1208,108460.914
1209,228876.2
1210,171423.48
1211,394384.34
1212,104347.336
1213,150421.31
1214,192847.84
1215,106558.11
1216,159541.05
1217,335277.22
1218,109640.01
1219,124901.24
1220,198291.75
1221,88175.55
1222,80814.96
1223,84863.99
1224,173627.42
1225,151930.4
1226,114558.64
1227,177745.1
1228,148979.03
1229,131677.73
1230,156247.66
1231,84113.85
1232,131324.5
1233,122036.15
1234,317335.38
1235,189333.97
1236,284609.06
1237,125089.27
1238,198344.8
1239,160871.23
1240,168186.19
1241,188111.62
1242,285454.2
1243,224056.75
1244,176618.11
1245,276296.72
1246,284120.38
1247,141048.06
1248,77690.234
1249,156661.27
1250,179552.4
1251,135951.39
1252,422229.22
1253,118728.0
1254,158797.38
1255,189569.45
1256,193887.6
1257,178173.4
1258,150327.28
1259,180215.69
1260,132370.12
1261,187153.89
1262,121040.086
1263,177607.55
1264,125063.695
1265,220147.8
1266,119892.76
1267,161802.17
1268,187172.94
1269,279636.7
1270,81847.4
1271,151483.75
1272,220489.22
1273,135115.3
1274,214502.72
1275,255775.36
1276,116145.46
1277,89155.69
1278,105813.984
1279,129406.21
1280,210876.98
1281,346953.47
1282,138288.31
1283,166128.84
1284,284435.12
1285,192678.14
1286,146054.17
1287,125514.484
1288,423930.1
1289,241111.16
1290,143398.52
1291,126196.71
1292,257658.88
1293,165694.14
1294,255605.94
1295,171973.3
1296,273448.53
1297,164897.47
1298,119342.984
1299,100717.94
1300,178807.19
1301,128048.1
1302,106266.734
1303,119356.39
1304,151791.86
1305,225214.69
1306,200970.28
1307,151037.55
1308,207341.66
1309,324154.44
1310,122467.43
1311,232752.83
1312,386044.5
1313,191433.6
1314,114007.16
1315,241506.52
1316,132122.3
1317,258145.69
1318,144318.02
1319,163588.08
1320,140191.42
1321,169449.39
1322,317752.84
1323,198509.31
1324,374474.47
1325,127524.2
1326,186170.4
1327,187644.9
1328,177495.1
1329,147661.4
1330,118807.87
1331,202797.73
1332,171261.98
1333,141072.84
1334,134535.19
1335,146486.45
1336,227122.31
1337,124764.43
1338,135286.05
1339,134950.75
1340,134081.83
1341,201112.11
1342,172968.95
1343,156564.03
1344,267827.94
1345,150294.47
1346,214490.92
1347,98705.18
1348,289092.84
1349,150037.19
1350,277731.47
1351,123910.65
1352,101511.39
1353,177547.23
1354,157461.2
1355,185219.94
1356,297559.53
1357,216364.7
1358,125593.19
1359,162054.38
1360,150097.0
1361,201997.27
1362,189453.8
1363,147753.05
1364,117719.44
1365,349842.28
1366,207180.2
1367,172927.0
1368,157014.0
1369,292227.6
1370,73170.14
1371,119063.46
1372,123189.23
1373,212563.2
1374,161788.47
1375,238508.05
1376,92941.89
1377,137449.25
1378,160090.92
1379,143758.92
1380,151861.03
1381,127213.71
1382,239373.22
1383,238747.53
1384,238676.27
1385,159945.39
1386,176659.1
1387,206020.3
1388,121521.66
1389,215385.55
1390,174243.44
1391,128865.484
1392,129897.695
1393,127732.96
1394,152044.36
1395,183245.39
1396,128996.97
1397,220153.83
1398,215561.6
1399,121315.22
1400,181537.5
1401,130949.164
1402,150490.88
1403,154357.45
1404,223437.44
1405,187108.47
1406,146491.27
1407,337114.66
1408,269746.88
1409,265711.25
1410,145822.77
1411,185359.75
1412,75389.96
1413,125577.91
1414,177660.75
1415,157801.78
1416,152766.3
1417,111988.46
1418,140751.83
1419,142653.02
1420,159177.1
1421,167953.78
1422,139500.61
1423,319669.56
1424,292687.38
1425,185673.1
1426,105167.04
1427,217031.34
1428,193025.7
1429,181236.2
1430,139892.19
1431,102120.09
1432,112494.445
1433,144692.58
1434,130641.336
1435,138518.56
1436,139751.22
1437,459120.38
1438,174732.84
1439,247170.3
1440,159172.84
1441,104480.44
1442,111038.57
1443,123003.3
1444,147581.58
1445,266205.8
1446,128506.72
1447,128735.67
1448,439275.6
1449,428473.38
1450,299525.34
1451,128973.19
1452,169213.56
1453,131788.14
1454,107678.984
1455,255492.2
1456,174185.86
1457,149631.62
1458,146934.11
1459,117037.12
1460,129995.336
1461,134292.64
1462,299433.88
1463,206885.72
1464,157535.6
1465,135282.19
1466,195638.95
1467,118283.734
1468,194856.98
1469,279820.75
1470,195354.9
1471,110115.74
1472,132243.88
1473,149931.64
1474,125037.27
1475,130660.375
1476,293740.34
1477,189208.42
1478,133000.28
1479,147005.92
1480,407838.0
1481,122993.88
1482,201595.47
1483,161410.81
1484,125517.79
1485,129698.34
1486,161002.19
1487,137457.98
1488,159995.89
1489,131528.84
1490,115690.164
1491,135093.19
1492,109815.305
1493,140491.34
1494,131803.28
1495,133247.08
1496,292489.16
1497,294137.34
1498,215358.73
1499,128729.86
1500,142885.38
1501,125679.836
1502,207638.6
1503,233975.39
1504,132830.33
1505,125007.945
1506,88845.78
1507,153974.9
1508,146813.72
1509,278241.1
1510,223754.78
1511,111730.23
1512,188082.42
1513,84647.89
1514,243861.25
1515,250905.05
1516,200380.88
1517,170451.52
1518,143480.1
1519,112097.484
1520,136893.47
1521,243002.3
1522,207849.69
1523,174317.84
1524,174013.86
1525,195465.45
1526,136380.61
1527,206679.97
1528,322592.25
1529,614387.4
1530,113030.7
1531,216675.11
1532,168684.97
1533,317318.16
1534,147216.5
1535,138760.86
1536,170100.14
1537,176870.88
1538,107526.52
1539,182205.4
1540,155380.83
1541,130315.45
1542,383825.97
1543,65727.65
1544,223829.64
1545,124676.45
1546,325724.53
1547,168586.27
1548,214291.78
1549,290619.1
1550,261098.66
1551,222062.23
1552,112386.37
1553,182363.14
1554,193018.73
1555,86547.83
1556,185178.19
1557,87022.71
1558,226772.98
1559,86652.71
1560,280626.3
1561,283570.88
1562,129890.49
1563,258385.64
1564,189547.61
1565,210578.58
1566,145856.22
1567,188047.44
1568,329212.3
1569,234047.83
1570,177188.45
1571,141806.44
1572,199279.83
1573,174594.28
1574,119103.53
1575,163252.06
1576,180983.44
1577,149897.97
1578,114566.625
1579,166986.64
1580,250775.19
1581,154185.84
1582,217164.61
1583,144028.69
1584,81274.0
1585,166168.5
1586,124350.32
1587,142767.34
1588,160951.77
1589,121051.99
1590,150534.38
1591,110282.84
1592,158979.73
1593,323959.88
1594,156016.31
1595,206941.53
1596,178692.42
1597,457764.53
1598,195833.44
1599,174023.06
1600,293523.06
1601,100068.8
1602,314383.7
1603,224892.03
1604,155297.11
1605,170795.42
1606,163045.72
1607,335292.22
1608,356791.16
1609,219323.06
1610,135320.05
1611,285411.5
1612,189422.36
1613,147751.06
1614,93151.0
1615,209686.05
1616,164885.67
1617,119909.34
1618,128178.62
1619,142970.62
1620,123898.66
1621,115737.125
1622,215383.47
1623,134829.27
1624,260288.28
1625,117498.305
1626,121527.016
1627,205413.5
1628,270875.3
1629,214717.17
1630,146312.36
1631,269853.3
1632,190124.38
1633,130856.12
1634,183506.44
1635,229875.78
1636,136274.8
1637,154354.34
1638,181586.72
1639,118757.56
1640,157237.64
1641,150596.48
1642,110532.305
1643,139045.39
1644,231609.0
1645,127301.42
1646,235528.45
1647,83377.195
1648,35536.11
1649,269561.97
1650,355994.62
1651,176211.66
1652,179877.84
1653,534476.8
1654,90894.95
1655,171956.23
1656,178063.28
1657,164908.19
1658,84117.64
1659,146710.38
1660,86405.76
1661,219654.1
1662,171551.92
1663,170384.61
1664,258430.88
1665,161133.31
1666,246568.4
1667,147881.58
1668,296892.44
1669,127327.14
1670,84791.42
1671,85429.805
1672,151430.31
1673,115088.52
1674,448865.62
1675,143886.73
1676,265864.7
1677,469805.1
1678,137862.88
1679,132265.34
1680,38944.168
1681,283101.9
1682,69494.35
1683,86533.23
1684,279506.25
1685,227502.47
1686,117009.48
1687,154138.05
1688,202019.98
1689,225442.62
1690,110789.83
1691,264191.53
1692,123794.45
1693,275057.7
1694,182188.14
1695,200564.31
1696,145162.44
1697,166931.86
1698,323688.8
1699,122684.47
1700,117634.0
1701,170574.44
1702,186593.5
1703,157359.1
1704,117340.516
1705,214029.42
1706,140418.28
1707,184256.75
1708,139043.55
1709,137312.89
1710,111259.414
1711,193343.22
1712,152786.9
1713,194404.8
1714,45477.895
1715,159009.52
1716,179377.47
1717,154372.88
1718,181206.48
1719,149575.52
1720,161120.12
1721,164061.77
1722,121318.19
1723,111874.63
1724,101517.2
1725,220736.44
1726,208504.95
1727,160539.98
1728,129559.97
1729,120673.375
1730,179612.28
1731,156258.16
1732,88454.83
1733,155012.36
1734,183377.4
1735,315893.78
1736,160386.1
1737,112996.68
1738,193102.14
1739,147780.08
1740,371497.06
1741,114184.55
1742,137398.48
1743,228516.78
1744,44142.926
1745,254173.05
1746,110692.72
1747,428502.22
1748,114975.5
1749,154196.69
1750,196693.67
1751,162598.92
1752,117374.34
1753,312149.4
1754,255743.62
1755,170322.73
1756,165290.0
1757,132879.47
1758,168847.69
1759,136706.73
1760,192767.2
1761,213362.89
1762,149525.28
1763,139481.73
1764,400621.8
1765,180727.47
1766,125863.86
1767,146803.42
1768,149440.42
1769,86054.08
1770,223990.89
1771,74417.1
1772,128941.69
1773,164390.4
1774,135519.2
1775,295237.8
1776,126364.44
1777,110992.28
1778,394176.72
1779,231646.45
1780,92140.77
1781,193716.38
1782,206592.23
1783,114032.3
1784,148016.9
1785,298128.66
1786,190442.88
1787,127214.12
1788,136169.72
1789,274428.4
1790,128296.914
1791,266059.66
1792,204446.83
1793,221089.89
1794,140624.42
1795,163519.36
1796,86926.664
1797,106896.63
1798,237414.53
1799,142076.72
1800,82818.96
1801,138101.45
1802,227601.4
1803,111804.89
1804,134878.16
1805,118374.71
1806,179036.5
1807,155647.94
1808,126126.11
1809,120720.21
1810,182493.92
1811,142666.45
1812,146250.36
1813,173054.94
1814,280621.1
1815,133563.16
1816,320422.28
1817,298313.06
1818,135539.8
1819,219900.14
1820,102823.09
1821,144929.7
1822,85115.734
1823,206914.6
1824,157820.62
1825,209001.23
1826,269006.22
1827,137599.62
1828,131074.38
1829,119838.11
1830,210467.62
1831,274492.44
1832,143880.78
1833,90485.805
1834,284746.34
1835,64913.75
1836,120655.99
1837,217477.42
1838,151468.81
1839,131932.06
1840,213105.84
1841,119255.414
1842,131078.98
1843,118849.28
1844,375887.62
1845,194554.95
1846,118419.125
1847,133101.2
1848,80404.95
1849,236965.25
1850,188298.36
1851,67501.305
1852,158882.27
1853,131685.55
1854,223702.52
1855,146067.23
1856,139967.94
1857,188574.61
1858,240779.94
1859,152802.3
1860,193764.48
1861,128427.234
1862,204416.44
1863,101099.05
1864,168979.92
1865,150223.42
1866,66086.49
1867,154011.6
1868,181574.19
1869,297678.28
1870,143361.48
1871,279126.03
1872,238635.12
1873,224663.4
